"1 Betzdorf/Kirchen (Sieg)1";"33,3";"-0,2";"36,2";"-4,3";"3,8";"-9,8";"6,1";"1,6";
"2 Altenkirchen (Westerwald)";"33,4";"0,5";"35,3";"-4,6";"4,6";"-10,4";"5,8";"1,7";
"3 Linz am Rhein/Rengsdorf";"32,8";"0,9";"38,1";"-2,9";"5,2";"-10,4";"6,4";"2,1";
"4 Neuwied";"38,3";"-1,4";"30,5";"-2,6";"4,3";"-10,6";"5,5";"1,5";
"5 Bad Marienberg/Westerburg1";"37,5";"-1,7";"32,1";"-2,6";"4,1";"-9,2";"6,1";"2,0";
"6 Montabaur1";"30,1";"1,4";"40,6";"-3,0";"4,6";"-10,0";"7,0";"2,2";
"7 Diez/Nassau";"39,8";"-2,4";"28,8";"-1,4";"4,7";"-9,9";"5,9";"1,7";
"8 Koblenz/Lahnstein";"38,5";"0,5";"31,9";"-2,1";"5,0";"-10,3";"6,1";"1,6";
"9 Koblenz";"35,3";"5,2";"31,8";"-3,4";"7,5";"-11,3";"6,7";"1,4";
"10 Bendorf/Weißenthurm1";"34,6";"0,8";"36,1";"-3,6";"4,4";"-10,1";"6,4";"2,0";
"11 Andernach";"37,1";"1,0";"34,0";"-5,6";"4,6";"-9,0";"5,6";"1,8";
"12 Mayen";"34,0";"1,9";"39,3";"-3,1";"4,6";"-9,4";"6,2";"1,8";
"13 Remagen/Sinzig";"31,9";"2,8";"37,3";"-3,7";"6,6";"-11,3";"6,3";"1,9";
"14 Bad Neuenahr-Ahrweiler";"26,6";"2,3";"44,4";"-3,7";"5,3";"-10,4";"7,6";"2,5";
"15 Cochem-Zell1";"31,4";"0,7";"43,5";"-3,6";"3,5";"-7,2";"7,1";"2,2";
"16 Rhein-Hunsrück1";"36,3";"3,4";"37,2";"-2,4";"3,7";"-10,7";"6,9";"1,3";
"17 Bad Kreuznach";"36,6";"-0,3";"34,0";"-2,6";"4,7";"-9,6";"6,7";"1,4";
"18 Kirn/Bad Sobernheim";"41,4";"-1,5";"32,1";"-3,1";"3,9";"-8,0";"5,2";"1,9";
"19 Birkenfeld";"39,2";"-0,6";"31,4";"-6,4";"3,6";"-7,4";"6,1";"2,5";
"20 Vulkaneifel";"31,0";"1,7";"42,0";"-0,9";"4,3";"-7,7";"6,7";"2,1";
"21 Bitburg-Prüm";"36,1";"6,7";"36,8";"0,6";"5,1";"-7,9";"6,2";"2,1";
"22 Wittlich1";"32,6";"3,0";"38,5";"-4,2";"4,3";"-9,6";"7,1";"2,1";
"23 Bernkastel-Kues/Morb./Kirchb.1";"35,8";"1,3";"34,7";"-3,0";"3,7";"-9,1";"7,7";"2,0";
"24 Trier/Schweich1";"40,1";"6,4";"33,4";"-3,3";"4,5";"-11,8";"5,3";"1,6";
"25 Trier";"37,6";"6,8";"26,9";"-3,9";"11,2";"-14,4";"5,7";"1,7";
"26 Konz/Saarburg";"40,1";"5,0";"33,2";"-3,2";"4,6";"-11,3";"4,8";"1,6";
